property_type,society,sector,price,price_per_sqft,bedRoom,bathroom,balcony,floorNum,agePossession,super_built_up_area,built_up_area,carpet_area,study room,servant room,store room,pooja room,others,furnishing_type
flat,shyam sadan,ashok vihar phase 2,0.55,6470.0,2,2,1,4  ,relativelt new,1895.9498700623699,1600.0,700.0,1,0,0,0,0,0
flat,m3m heights,sector 65,2.5,13600.0,3,3,3,19  ,under construction,1828.0,1600.0,1254.0,0,0,0,0,0,2
flat,hanumanta apartment,rajiv colony,0.43,5308.0,2,2,1,1  ,moderately old,810.0,1600.0,1254.0,0,0,0,0,0,2
flat,supertech hilltown,sector 2,0.8,5556.0,3,2,3,8  ,undefined,1895.9498700623699,1440.0,1080.0,0,0,0,0,0,2
flat,ashiyara 2,garauli kalan,0.45,4500.0,3,3,2,18  ,under construction,1000.0,1600.0,1254.0,0,0,0,0,0,2
flat,raheja vedaanta,sector 108,0.7,4666.0,2,2,1,10  ,moderately old,1895.9498700623699,1468.0,1150.0,0,0,0,0,0,2
flat,bptp terra,sector 37d,1.95,14444.0,4,3,3,7  ,under construction,2191.0,1650.0,1350.0,0,0,0,0,0,2
flat,green court,sector 90,0.45,7188.0,2,2,1,2  ,new Property,1895.9498700623699,1600.0,626.0,0,0,0,0,0,0
flat,m3m golf hills phase 1,sector 79,1.7,10828.0,3,2,3,10  ,undefined,1895.9498700623699,1570.0,1099.0,0,0,0,0,0,2
flat,abhinav group housing society,bhawani enclave,1.1,6111.0,3,2,3,5  ,old property,1895.9498700623699,1600.0,1800.0,0,0,0,0,0,2
flat,pyramid urban homes 2,sector 86,0.5,9615.0,2,2,1,10  ,relativelt new,1895.9498700623699,1600.0,520.0,0,0,0,0,0,2
flat,m3m heights,sector 65,2.8,15000.0,3,3,3,20  ,under construction,1828.0,1600.0,1254.0,0,0,0,0,0,2
flat,godrej nature plus,sector-33 sohna,1.45,15664.0,3,2,3,20  ,under construction,1895.9498700623699,118.0,86.0,1,0,0,0,0,2
flat,smart world orchard,sector 61,2.2,13496.0,3,3,2,3  ,under construction,1895.9498700623699,1600.0,1630.0,0,0,0,0,0,2
flat,ashiana anmol,sohna,0.9,9463.0,2,2,2,13  ,relativelt new,1275.0,1600.0,951.0,0,0,0,0,0,1
flat,signature signum 95a,sector 95a,0.4,7782.0,2,2,2,3  ,new Property,1895.9498700623699,1600.0,514.0,0,0,0,0,0,0
flat,umang winter hills,sector 77,1.35,7780.0,3,3,3,7  ,new Property,1735.0,1600.0,1199.0,0,0,1,0,0,0
flat,aardhya homesh,sector 67a,1.85,8043.0,4,4,No,4  ,undefined,1895.9498700623699,1600.0,2300.0,0,0,0,0,0,2
flat,rof ananda,sector 95,0.25,6578.0,1,1,1,4  ,new Property,380.0,1600.0,1254.0,0,0,0,0,0,2
flat,smart world gems,sector 89,0.88,7963.0,2,2,3,2  ,new Property,1895.9498700623699,1600.0,1105.0,1,0,0,0,0,2
flat,assotech blith,sector 99,1.15,6593.0,2,2,2,2  ,new Property,1365.0,1600.0,1254.0,0,0,0,0,1,0
flat,essel tower,iffco chowk,1.6,12185.0,3,3,3,4  ,moderately old,1313.0,1600.0,1254.0,0,0,0,0,0,2
flat,raheja vanya,sector 99a,0.85,6789.0,2,2,2,3  ,new Property,1252.0,1600.0,1254.0,0,0,0,0,0,2
flat,vatika inxt floors,sector 82a,0.75,7500.0,2,2,2,1  ,undefined,1895.9498700623699,1000.0,650.0,0,0,0,0,0,2
flat,palam vihar society,palam vihar,3.35,7444.0,4,4,3,2  ,new Property,1895.9498700623699,1600.0,4500.0,1,0,0,0,0,2
flat,godrej oasis,sector 88a,1.5,8108.0,3,3,3,11  ,new Property,1850.0,1600.0,1254.0,0,0,0,0,0,2
flat,dlf new town heights,sector 91,1.65,6345.0,4,4,3,11  ,moderately old,2364.0,1600.0,1254.0,0,1,0,0,0,2
flat,dlf new town heights,sector 91,2.0,6967.0,4,4,3,16  ,moderately old,2727.0,1600.0,1254.0,1,1,0,1,0,2
flat,sonata group housing society sector 1 manesar,near sector 1 market,1.75,6250.0,4,4,3,8  ,new Property,1895.9498700623699,1600.0,2800.0,0,1,0,0,0,2
flat,supertech hues,sector 68,0.9,7627.0,2,2,2,1  ,new Property,1895.9498700623699,1600.0,1180.0,0,0,0,0,0,2
flat,krrish florence estate,sector 70,1.25,6703.0,3,3,3,18  ,under construction,1865.0,1600.0,1254.0,0,0,0,0,0,2
flat,piedmont taksila heights,sector 37c,1.0,6506.0,3,3,3,8  ,relativelt new,1895.9498700623699,1600.0,1537.0,0,0,0,0,0,0
flat,experion heartsong,dwarka expressway,1.08,6150.0,3,3,No,,under construction,1895.9498700623699,1758.0,1254.0,0,0,0,0,0,2
flat,ss the leaf,sector 85,2.15,8928.0,3,5,3,2  ,new Property,2408.0,1600.0,1254.0,0,0,0,0,0,2
flat,m3m urbana,sector 67,1.0,12106.0,1,1,1,17  ,relativelt new,1895.9498700623699,826.0,1254.0,0,0,0,0,0,2
flat,aipl zen residences,sector 70a,1.65,13074.0,2,2,3,23  ,new Property,1262.0,1600.0,1254.0,0,0,0,0,0,2
flat,dlf regal gardens,sector 90,1.79,8081.0,4,3,3,10  ,moderately old,1895.9498700623699,1600.0,2215.0,0,0,0,0,0,2
flat,godrej air,sector 85,1.8,13136.0,3,3,3,30  ,under construction,1895.9498700623699,1600.0,127.3,0,0,0,0,0,2
flat,suncity vatsal valley,gwal pahari,1.45,10139.0,3,3,3,4  ,under construction,1895.9498700623699,1430.0,760.0,0,0,0,0,0,2
flat,shree shyam residency,block a surya vihar,0.22,4731.0,1,1,1,2  ,relativelt new,585.0,1600.0,465.0,0,0,0,0,0,2
flat,project krishna colony,sector 7,0.36,5142.0,2,2,1,0,relativelt new,1895.9498700623699,700.0,1254.0,0,0,0,0,0,2
flat,mvn athens,sohna,0.25,4258.0,2,2,1,0,relativelt new,1895.9498700623699,587.0,1254.0,0,0,0,0,0,2
flat,m3m antalya hills,sector 79,1.15,7496.0,3,3,3,1  ,under construction,1534.0,1200.0,1103.0,1,0,0,0,0,2
flat,central park flower valley,sohna road,1.65,17441.0,3,3,No,1  ,undefined,1895.9498700623699,1600.0,946.0,0,0,0,0,0,2
flat,m3m capital,sector 113,2.9,12619.0,4,4,3,11  ,under construction,1895.9498700623699,1600.0,2298.0,1,1,0,0,0,2
flat,ansal heights,sector 92,0.6,4546.0,2,2,3,11  ,under construction,1320.0,1600.0,1254.0,0,0,0,0,1,2
flat,malibu towne,malibu town,2.4,10000.0,3,3,No,0,moderately old,1895.9498700623699,1600.0,2400.0,0,0,0,0,0,0
flat,aipl zen residences,sector 70a,1.25,9904.0,2,2,3,19  ,undefined,1895.9498700623699,1600.0,1262.0,0,0,0,0,0,2
flat,m3m heights,sector 65,2.15,15003.0,2,2,3,28  ,undefined,1895.9498700623699,1433.0,1254.0,0,0,0,0,0,2
flat,hcbs sports ville,sohna,0.29,3970.0,2,2,1,4  ,undefined,1895.9498700623699,743.0,519.0,0,0,0,0,0,2
flat,hcbs sports ville,sohna,0.38,5067.0,2,2,2,9  ,undefined,1895.9498700623699,750.0,650.0,0,0,0,0,0,2
flat,jmd empire,golf course road,1.5,12500.0,2,2,3,7  ,undefined,1895.9498700623699,1200.0,1100.0,0,0,0,0,0,2
